1, At the Office Night Club, 64 Cape Road Aberdeen  Freetown Sierra Leone, Western Area, NULL, NULL, 1, +23233733886,NULL,8.494066, -13.291475
2, Aces Night Club, 72 Cape Road Aberdeen freetown Sierra Leone, Western Area, NULL, NULL, 2, +23233320273/ +23233237318,NULL,8.493744, -13.293668
4, Club Where Else, C/O Bintumani Hotel Aberdeen freetown Sierra Leone, Western Area, NULL, NULL, 1, +23276900300 +23230826666,NULL,NULL
5, Club Galaxy Night Club, 5 Big Waterloo street freetown Sierra Leone, Western Area, NULL, NULL, 3, +23276648848,NULL,NULL
6, Diva Night Club, 87 Bai Bureh Road Kissy LowcostStep freetown Sierra Leone, Western Area, NULL, NULL, 3, +23276767903/ +23276767836,NULL,NULL
7, De Vault Night Club, Hill Station Club Hill Station freetown Sierra Leone, Western Area, NULL, NULL, 2,+23233498784/ +23222236610,NULL,NULL
