1, Benita Snacks Bar, Centenary Building Aberdeen Lumley Beach freetown freetown Sierra Leone, Western Area, NULL, NULL,6, +23233496713/ +23233868513,NULL,NULL
2, Dee's Delight Snack, 15 Siaka Stevens street freetown Sierra Leone, Western Area, NULL, NULL,6, +23233544157,https://www.facebook.com/DsBazaarDelight,NULL
3, Diaspora Bookshop Cafe, 2A Priscilla street freetown Sierra Leone, Western Area, NULL, NULL,6, +23276411144/ +23233471638,NULL,NULL
4, Piccadilly's Snacks Bar, Campbell Street street freetown Sierra Leone, Western Area, NULL, NULL,6, +23222242271,NULL,NULL
5, Quick Take Snacks, 8 Siaka Stevens street freetown Sierra Leone, Western Area, NULL, NULL,6, +23222229504,NULL,NULL
